begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
05:27.6,05:27.8,26,O,I,,Husband_W01_AH,Husband_W01_AH,[啊在],[a zài] ,[Ah yes],hostess,,,,,,,,,,,,,,,,,,,,,
05:28.2,05:29.5,26,O,I,S,,Husband_W01_AH,基本上是这样子,jīběn shàng shì zhèyàng zi ,Basically like this,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,affirmation,,招呼客人,down:isolated,基本上,expand:entertain,基本上,
05:29.5,05:32.5,26,,,,,Husband_W01_AH,没有什么好那个做文章的啊,méiyǒu shé me hǎo nàgè zuò wénzhāng de a,There is no such thing to make a fuss,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,做文章,,,contract:disclaim,没什么,啊
05:32.5,05:36.5,27,,,,Wife_W01_WW,Wife_W01_WW,去年客户来了 吃了饭以后我们就去KTV玩,Qùnián kèhù láile chīle fàn yǐhòu wǒmen jiù qù KTV wán ,Last year the client came and after dinner we went to a KTV,hostess,,没有什么做文章的,IVoE,去年,reorient to an alternative VE,reorient,VoE,Yes,VoE; IVoE; ExAss,,,,,,,,,,,,
05:36.5,05:39.4,27,,,,,Wife_W01_WW,在KTV里面玩呢因为是声音比较大..唱歌,zài KTV lǐmiàn wán ne yīn wéi shì shēngyīn bǐjiào dà.. Chànggē ,In the KTV because it was very noisy.. People singing,hostess,,,,,,,,,,,,,,,,,,,,,
05:39.4,05:46.6,27,,,,,Wife_W01_WW,我就跟我一个比我更小的小几岁的一个弟弟哈我们在谈..一个那个..也是..关于经济的问题,wǒ jiù gēn wǒ yīgè bǐ wǒ gèng xiǎo de xiǎo jǐ suì de yīgè dìdì hā wǒmen zài tán.. Yīgè nàgè.. Yěshì.. Guānyú jīngjì de wèntí ,I just talked to a younger brother a man a few years younger than me we chatted.. about one well.. also.. about an economic issue,hostess,,,,,,,,,,,,,,,,,,,,,
05:46.6,05:49.9,27,,,,,Wife_W01_WW,然后我们..因为声音比较大头就挨得比较近,ránhòu wǒmen.. Yīnwèi shēngyīn bǐjiào dàtóu jiù āi dé bǐjiào jìn ,Then we...because the noise was very loud our heads got somehow close,hostess,,,,,,,,,,,,,,,,,,,,,
05:49.9,05:52.5,27,,,,,Wife_W01_WW,挨的比较近我老公就拍拍照..发给我,āi de bǐjiào jìn wǒ lǎogōng jiù pāi pāizhào.. Fā gěi wǒ ,Our head got somehow close then my husband took took a photo of us.. and sent it to me,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,拍照,,,contract:disclaim,就,
05:52.5,05:54.8,27,,,,,Wife_W01_WW,晚上回来就把照片发给我,wǎnshàng huílái jiù bǎ zhàopiàn fā gěi wǒ ,He sent me the photo when we came back home that night,hostess,,,,,,,,,,,,,,,,,,,,,
05:54.8,05:58.0,27,,,,,Wife_W01_WW,他说你看你跟别人聊天那个多亲热啊,tā shuō nǐ kàn nǐ gēn biérén liáotiān nàgè duō qīnrè a ,He said look how affectionate you were when you were chatting with others,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,他说,,,monoglossic,,
05:58.0,06:00.7,27,,,,,Wife_W01_WW,然后跟我嘛..就没话说,ránhòu gēn wǒ ma.. Jiù méi huàshuō ,Then when you chat with me.. You will have nothing to say,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,跟他/跟我,,,monoglossic,,
06:00.7,06:01.8,27,,,,,Wife_W01_WW,我也就没有回答,wǒ yě jiù méiyǒu huídá ,I didn't answer,hostess,,,,,,,,,,self,+ve,judgement,invoke,denial,,没回答,,,contract:disclaim,也,
06:01.8,06:03.1,27,,,,,Wife_W01_WW,也没理他,yě méi lǐ tā ,I ignored him,hostess,,,,,,,,,,self,+ve,judgement,invoke,denial,,没理,,,contract:disclaim,也,
